RequirementType,Name,Example,Description,ArgumentType,DefaultValue,Required,DatabaseKind
REQUIREMENT_PLAYER_HAS_CITY_ON_EMERGENCY_PLOT_CONTINENT,,,,,,,
REQUIREMENT_PLAYER_HAS_DARK_AGE,,,,,,,
REQUIREMENT_PLAYER_HAS_DESIRED_LUXURY,,,,,,,
REQUIREMENT_PLAYER_HAS_ENVOY_WITH_EMERGENCY_DATA_PLAYER,,,,,,,
REQUIREMENT_PLAYER_HAS_GOLDEN_AGE,,,,,,,
REQUIREMENT_PLAYER_HAS_MET,,,,,,,
REQUIREMENT_PLAYER_HAS_PANTHEON,,,,,,,
REQUIREMENT_PLAYER_HAS_SAME_GOVERNMENT,,,,,,,
REQUIREMENT_PLAYER_HAS_SCIENCE_VICTORY_POINTS,,,,,,,
REQUIREMENT_PLAYER_IS_ATTACKING,,,,,,,
REQUIREMENT_PLAYER_IS_AT_PEACE,,,,,,,
REQUIREMENT_PLAYER_IS_AT_PEACE_WITH_ALL_MAJORS,,,,,,,
REQUIREMENT_PLAYER_IS_AT_WAR,,,,,,,
REQUIREMENT_PLAYER_IS_CLOSE_TO_VICTORY,,,,,,,
REQUIREMENT_PLAYER_IS_EMERGENCY_MEMBER_WITH_SCORE,,,,,,,
REQUIREMENT_PLAYER_IS_EMERGENCY_TARGET,,,,,,,
REQUIREMENT_PLAYER_IS_HUMAN,,,,,,,
REQUIREMENT_PLAYER_IS_MINOR,,,,,,,
REQUIREMENT_PLAYER_IS_NEIGHBOR,,,,,,,
REQUIREMENT_PLAYER_IS_NOT_WARMONGER,,,,,,,
REQUIREMENT_PLAYER_IS_RELIGION_FOUNDER,,,,,,,
REQUIREMENT_PLAYER_IS_SAME_RELIGION,,,,,,,
REQUIREMENT_PLAYER_IS_SAME_SEX,,,,,,,
REQUIREMENT_PLAYER_IS_SUZERAIN,,,,,,,
REQUIREMENT_PLAYER_IS_SUZERAIN_BONUS_ENABLED,,,,,,,
REQUIREMENT_PLAYER_IS_TEAM_MEMBER,,,,,,,
REQUIREMENT_PLAYER_IS_WINNING_ANY_VICTORY,,,,,,,
REQUIREMENT_PLAYER_MAJORITY_RELIGION_IS_OWNER,,,,,,,
REQUIREMENT_PLAYER_NOT_COMPETING_MINORS,,,,,,,
REQUIREMENT_PLAYER_NOT_INVOLVED_MINORS,,,,,,,
REQUIREMENT_PLAYER_ON_NON_HOME_CONTINENT,,,,,,,
REQUIREMENT_PLAYER_OWNS_OBJECT,,,,,,,
REQUIREMENT_PLAYER_PEACEFUL_ON_CONTINENT,,,,,,,
REQUIREMENT_PLAYER_RELIGION_RECEIVED,,,,,,,
REQUIREMENT_PLAYER_SHARES_HOME_CONTINENT,,,,,,,
REQUIREMENT_PLAYER_TURN_STARTED,,,,,,,
REQUIREMENT_PLOT_ADJACENT_TO_COAST,,,,,,,
REQUIREMENT_PLOT_ADJACENT_TO_LAKE,,,,,,,
REQUIREMENT_PLOT_ADJACENT_TO_MOUNTAIN,,,,,,,
REQUIREMENT_PLOT_ADJACENT_TO_NATURAL_WONDER,,,,,,,
REQUIREMENT_PLOT_ADJACENT_TO_OWNER,,,,,,,
REQUIREMENT_PLOT_ADJACENT_TO_RIVER,,,,,,,
REQUIREMENT_PLOT_ADJACENT_TO_WONDER,,,,,,,
REQUIREMENT_PLOT_DISTRICT_IS_DEFENDED,,,,,,,
REQUIREMENT_PLOT_HAS_ANY_DISTRICT,,,,,,,
REQUIREMENT_PLOT_HAS_ANY_FEATURE,,,,,,,
REQUIREMENT_PLOT_HAS_ANY_IMPROVEMENT,,,,,,,
REQUIREMENT_PLOT_HAS_ANY_RESOURCE,,,,,,,
REQUIREMENT_PLOT_IS_COAST,,,,,,,
REQUIREMENT_PLOT_IS_COASTAL_LAND,,,,,,,
REQUIREMENT_PLOT_IS_FRESH_WATER,,,,,,,
REQUIREMENT_PLOT_IS_HILLS,,,,,,,
REQUIREMENT_PLOT_IS_IMPASSABLE,,,,,,,
REQUIREMENT_PLOT_IS_LAKE,,,,,,,
REQUIREMENT_PLOT_IS_MOUNTAIN,,,,,,,
REQUIREMENT_PLOT_IS_OWNER_CAPITAL_CONTINENT,,,,,,,
REQUIREMENT_PLOT_RESOURCE_VISIBLE,,,,,,,
REQUIREMENT_PLOT_UNIT_CITY_HAS_ANY_DISTRICT,,,,,,,
REQUIREMENT_PLOT_UNIT_EMBARKED,,,,,,,
REQUIREMENT_PLOT_UNIT_FLANKED,,,,,,,
REQUIREMENT_REQUIREMENTSET_IS_MET,,,,,,,
REQUIREMENT_RESIDENT_EMBASSY,,,,,,,
REQUIREMENT_TEAM_DIPLOMATIC_VICTORY,,,,,,,
REQUIREMENT_TEAM_DOMINATION_VICTORY,,,,,,,
REQUIREMENT_TEAM_HAS_HIGHEST_SCORE,,,,,,,
REQUIREMENT_TOURISTS_EXCEED_STAYCATIONERS,,,,,,,
REQUIREMENT_TRADE_ROUTE_BETWEEN_ALLIANCE_PARTNERS,,,,,,,
REQUIREMENT_TRADE_ROUTE_BETWEEN_EMERGENCY_MEMBERS,,,,,,,
REQUIREMENT_TRADE_ROUTE_BETWEEN_EMERGENCY_MEMBER_AND_TARGET,,,,,,,
REQUIREMENT_TRADE_ROUTE_DESTINATION_IS_CITY_STATE,,,,,,,
REQUIREMENT_UNIT_ADJACENT_TO_OWNER_TERRITORY,,,,,,,
REQUIREMENT_UNIT_EMBARKED,,,,,,,
REQUIREMENT_UNIT_IN_EMERGENCY_TARGET_TERRITORY,,,,,,,
REQUIREMENT_UNIT_IN_ENEMY_TERRITORY,,,,,,,
REQUIREMENT_UNIT_IN_FORMATION,,,,,,,
REQUIREMENT_UNIT_IN_OWNER_TERRITORY,,,,,,,
REQUIREMENT_UNIT_IS_BARBARIAN,,,,,,,
REQUIREMENT_UNIT_IS_LEVIED,,,,,,,
REQUIREMENT_UNIT_ON_HOME_CONTINENT,,,,,,,
