Type,CommonName,Description,Tags,GameCapabilities,ContextInterfaces,SubjectInterfaces,SupportsRemove
EFFECT_ADJUST_UNIT_NO_FOREIGN_SPREAD,,,,,,,
EFFECT_ADJUST_UNIT_NO_REDUCTION_DAMAGE,,,,,,,
EFFECT_ADJUST_UNIT_NUM_ATTACKS,,,,,,,
EFFECT_ADJUST_UNIT_OWNER,,,,,,,
EFFECT_ADJUST_UNIT_PER_LUXURY_ATTACK_MODIFIER,,,,,,,
EFFECT_ADJUST_UNIT_PLUNDER_YIELDS,,,,,,,
EFFECT_ADJUST_UNIT_POST_COMBAT_HEAL,,,,,,,
EFFECT_ADJUST_UNIT_PRODUCTION,,,,,,,
EFFECT_ADJUST_UNIT_PROMOTE_NO_FINISH_MOVES,,,,,,,
EFFECT_ADJUST_UNIT_PROPERTY,,,,,,,
EFFECT_ADJUST_UNIT_PURCHASE_COST,,,,,,,
EFFECT_ADJUST_UNIT_RAIDING,,,,,,,
EFFECT_ADJUST_UNIT_RELIC_UPON_DEATH,,,,,,,
EFFECT_ADJUST_UNIT_SEA_MOVEMENT,,,,,,,
EFFECT_ADJUST_UNIT_SEE_HIDDEN,,,,,,,
EFFECT_ADJUST_UNIT_SEE_THROUGH_FEATURES,,,,,,,
EFFECT_ADJUST_UNIT_SEE_THROUGH_TERRAIN,,,,,,,
EFFECT_ADJUST_UNIT_SIGHT,,,,,,,
EFFECT_ADJUST_UNIT_SPREAD_CHARGES,,,,,,,
EFFECT_ADJUST_UNIT_STRENGTH_REDUCTION_FOR_DAMAGE_MODIFIER,,,,,,,
EFFECT_ADJUST_UNIT_SUPPORT_BONUS_MODIFIER,,,,,,,
EFFECT_ADJUST_UNIT_TAG_ERA_PRODUCTION,,,,,,,
EFFECT_ADJUST_UNIT_TRADE_ROUTE_PLUNDER_IMMUNITY,,,,,,,
EFFECT_ADJUST_UNIT_UPGRADE_GOODY_HUT,,,,,,,
EFFECT_ADJUST_UNIT_WMD_PROTECTION,AdjustUnitWMDProtection,Game Effect for adjusting a unit's resistance to WMD detonations and subsequent fallout,,,,{B3DF7354-0054-4FA5-9423-324C7704DA9F},
EFFECT_ADJUST_UNIT_WATER_DAMAGE_PROTECTION,AdjustUnitWaterProtection,Game Effect for adjusting a unit's resistance to water damage,,,,{B3DF7354-0054-4FA5-9423-324C7704DA9F},
EFFECT_ADJUST_VALID_FEATURES_DISTRICTS,,,,,,,
EFFECT_ADJUST_VALID_FEATURES_WONDERS,,,,,,,
EFFECT_ADJUST_WAR_WEARINESS,,,,,,,
EFFECT_ADJUST_WATER_HOUSING,,,,,,,
EFFECT_ADJUST_WONDER_ERA_PRODUCTION,,,,,,,
EFFECT_ADJUST_WONDER_PRODUCTION,,,,,,,
EFFECT_ADJUST_WONDER_YIELD_CHANGE,,,,,,,
EFFECT_ADJUST_YIELD_BY_NUMBER_OF_RESOURCES,,,,,,,
EFFECT_ADOPT_ALLY_FOUNDED_RELIGIONS,,,,,,,
EFFECT_ASSIGN_CITY_PROPERTY,,,,,,,
EFFECT_ASSIGN_DISTRICT_PROPERTY,,,,,,,
EFFECT_ASSIGN_GAME_PROPERTY,,,,,,,
EFFECT_ASSIGN_PLAYER_PROPERTY,,,,,,,
EFFECT_ASSIGN_UNIT_PROPERTY,,,,,,,
EFFECT_ATTACH_MODIFIER,Attach Modifier,Attach a modifier of the specified ID to the object.,,,,,
EFFECT_BECOME_CITY_SUZERAIN,,,,,,,
EFFECT_ADJUST_BUILDING_FEATURE_YIELD_CHANGE,,,,,,,
EFFECT_CITY_GRANT_HERO,,,,,,,
EFFECT_CITY_GRANT_RANDOM_RESOURCE_PRODUCT,,,,,,,
EFFECT_CITY_LEVY_UNITS_IN_TERRITORY,,,,,,,
EFFECT_CITY_REMOVE_OTHER_RELIGIONS,,,,,,,
EFFECT_DIPLOMACY_AGENDA_BULL_MOOSE,,,,,,,
EFFECT_DIPLOMACY_AGENDA_ETHIOPIAN_HIGHLANDS,,,,,,,
EFFECT_PLAYER_DIPLOMACY_AGENDA_COMPARE_ARMY_SIZE,,,,,,,
EFFECT_DIPLOMACY_AGENDA_ARCHIPELAGIC_STATE,,,,,,,
EFFECT_DIPLOMACY_AGENDA_AYYUBID_DYNASTY,,,,,,,
EFFECT_DIPLOMACY_AGENDA_BLACK_QUEEN,,,,,,,
EFFECT_DIPLOMACY_AGENDA_BUSHIDO,,,,,,,
EFFECT_DIPLOMACY_AGENDA_END_TO_SUFFERING,,,,,,,
EFFECT_DIPLOMACY_AGENDA_ENVIRONMENT,,,,,,,
EFFECT_DIPLOMACY_AGENDA_EXPLOITATIVE,,,,,,,
EFFECT_PLAYER_DIPLOMACY_AGENDA_DISTRICT_SPREAD,,,,,,,
EFFECT_DIPLOMACY_AGENDA_KUBLAI_PAX,,,,,,,
EFFECT_DIPLOMACY_AGENDA_LAST_VIKING_KING,,,,,,,
EFFECT_DIPLOMACY_AGENDA_LORD_OF_MINES,,,,,,,
EFFECT_DIPLOMACY_AGENDA_MAGNIFICENCES,,,,,,,
EFFECT_DIPLOMACY_AGENDA_OPPORTUNIST,,,,,,,
EFFECT_DIPLOMACY_AGENDA_OPTIMUS_PRINCEPS,,,,,,,
EFFECT_DIPLOMACY_AGENDA_PARANOID,,,,,,,
EFFECT_DIPLOMACY_AGENDA_PERPETUALLY_ON_GUARD,,,,,,,
EFFECT_DIPLOMACY_AGENDA_QUEEN_OF_NILE,,,,,,,
EFFECT_DIPLOMACY_AGENDA_TRIEU_DEFENDER,,,,,,,
EFFECT_DIPLOMACY_AGENDA_TURTLER,,,,,,,
EFFECT_DIPLOMACY_AGENDA_WITH_SHIELD_OR_ON_IT,,,,,,,
EFFECT_DIPLOMACY_AGENDA_ZEALOT,,,,,,,
EFFECT_DIPLOMACY_ARCHAEOLOGY,,,,,,,
EFFECT_DIPLOMACY_BROKEN_PROMISE,,,,,,,
EFFECT_DIPLOMACY_CONVERT_CITY,,,,,,,
EFFECT_DIPLOMACY_ESPIONAGE,,,,,,,
EFFECT_DIPLOMACY_FORCE_INCURSION,,,,,,,
EFFECT_DIPLOMACY_GOVERNMENTS,,,,,,,
EFFECT_DIPLOMACY_KEPT_PROMISE,,,,,,,
EFFECT_DIPLOMACY_NO_PROMISE,,,,,,,
EFFECT_DIPLOMACY_ONE_SIDED_TRADES,,,,,,,
EFFECT_DIPLOMACY_SETTLED_CITIES,,,,,,,
EFFECT_DIPLOMACY_SIMPLE_EFFECT,,,,,,,
EFFECT_DIPLOMACY_THIRD_PARTY_EFFECTS,,,,,,,
EFFECT_ENABLE_BUILDING_FAITH_PURCHASE,,,,,,,
EFFECT_ENABLE_SPECIFIC_BUILDING_FAITH_PURCHASE,,,,,,,
EFFECT_ENABLE_UNIT_FAITH_PURCHASE,,,,,,,
EFFECT_EXPLORE_ENTIRE_MAP,,,,,,,
EFFECT_GRANT_ABILITY,,,,,,,
EFFECT_GRANT_AIR_SLOTS,,,,,,,
EFFECT_GRANT_ALL_TECHNOLOGY_BOOST_BY_ERA,,,,,,,
EFFECT_GRANT_CITY_OWNER_INFLUENCE_TOKEN_WONDER,,,,,,,
EFFECT_GRANT_CITY_ROAD_TO_CAPITAL,,,,,,,
EFFECT_GRANT_CITY_TRADING_POST,,,,,,,
EFFECT_GRANT_CITY_YIELD_PERCENT_BUILDING_CREATED_COST,,,,,,,
EFFECT_GRANT_CITY_YIELD_PERCENT_UNIT_CREATED_COST,,,,,,,
EFFECT_GRANT_COMBAT_ADJACENCY,,,,,,,
EFFECT_GRANT_BUILDING_IN_CITY,,,,,,,
EFFECT_GRANT_BUILDING_IN_CITY_IGNORE,,,,,,,
EFFECT_GRANT_CHEAPEST_BUILDING_IN_CITY,,,,,,,
EFFECT_GRANT_FREE_ENVOYS_HERE,,,,,,,
EFFECT_GRANT_GREAT_PERSON_CLASS_IN_CITY,,,,,,,
EFFECT_GRANT_FREE_RESOURCE_FROM_UNIT_PLOT,,,,,,,
EFFECT_GRANT_FREE_RESOURCE_IN_CITY,,,,,,,
EFFECT_GRANT_FREE_RESOURCE_VISIBILITY,,,,,,,
EFFECT_GRANT_UNIT_BY_CLASS,,,,,,,
EFFECT_GRANT_UNIT_BY_DOMAIN,,,,,,,
EFFECT_GRANT_UNIT_IN_CITY,,,,,,,
EFFECT_GRANT_FREE_UNIT_ON_PLOT,,,,,,,
EFFECT_GRANT_HEAL_AFTER_ACTION,,,,,,,
EFFECT_GRANT_INFLUENCE_TOKEN,,,,,,,
EFFECT_GRANT_PLAYER_FAITH_FROM_HARVEST,,,,,,,
EFFECT_GRANT_PLAYER_FAITH_FROM_REMOVE_FEATURE,,,,,,,
EFFECT_GRANT_PLAYER_RANDOM_CIVIC,,,,,,,
EFFECT_GRANT_PLAYER_RANDOM_TECHNOLOGY,,,,,,,
EFFECT_GRANT_PLAYER_RELIGIOUS_PRESSURE_GREAT_PERSON_ACTIVATED,,,,,,,
EFFECT_GRANT_PLAYER_SPECIFIC_TECH_BOOST_GREAT_PERSON,,,,,,,
EFFECT_GRANT_PLAYER_SPECIFIC_TECHNOLOGY,,,,,,,
EFFECT_GRANT_PLAYER_YIELD_PERCENT_UNIT_COST,,,,,,,
EFFECT_GRANT_PLOT,,,,,,,
EFFECT_GRANT_PRODUCTION_IN_CITY,,,,,,,
EFFECT_GRANT_PROMOTION,,,,,,,
EFFECT_GRANT_RANDOM_CIVIC_BOOST_BY_ERA,,,,,,,
EFFECT_GRANT_RANDOM_CIVIC_BOOST_ON_NEW_ERA,,,,,,,
EFFECT_GRANT_RANDOM_TECHNOLOGY_BOOST_BY_ERA,,,,,,,
EFFECT_GRANT_RANDOM_TECHNOLOGY_BOOST_ON_NEW_ERA,,,,,,,
EFFECT_GRANT_RELIC,,,,,,,
EFFECT_GRANT_SPY,,,,,,,
EFFECT_GRANT_STRENGTH_PER_ADJACENT_UNIT_TYPE,,,,,,,
EFFECT_GRANT_TOURISM_PER_EXCESS_LUXURIES,,,,,,,
EFFECT_GRANT_UNIT_OF_CLASS_AND_APPLY_ABILITY,,,,,,,
EFFECT_GRANT_UNIT_YIELD_ADJACENT_FEATURES,,,,,,,
EFFECT_GRANT_UNIT_IN_EACH_DISTRICT,,,,,,,
EFFECT_GRANT_UNIT_YIELD_ADJACENT_NATURAL_WONDERS,,,,,,,
EFFECT_GRANT_UNIT_YIELD_ADJACENT_TERRAINS,,,,,,,
EFFECT_GRANT_UNIT_TYPE_UNLIMITED_PROMOTION_CHOICES,,,,,,,
EFFECT_GRANT_UNIT_WITH_EXPERIENCE,,,,,,,
EFFECT_GRANT_YIELD,,,,,,,
EFFECT_GRANT_YIELD_BASED_ON_CURRENT_YIELD_RATE,,,,,,,
EFFECT_GRANT_YIELD_PER_EXCESS_LUXURIES,,,,,,,
EFFECT_GRANT_YIELD_PER_FEATURE_IN_CITY,,,,,,,
EFFECT_GRANT_YIELD_PER_GREAT_WORK_IN_CITY,,,,,,,
EFFECT_GRANT_YIELD_PER_RESOURCE_IN_CITY,,,,,,,
EFFECT_IMPROVEMENT_ADJACENCY,,,,,,,
EFFECT_MAP_REMOVE_CLIFFS_IN_DIRECTION,,,,,,,
EFFECT_ADJUST_NATURAL_WONDER_RELIC,,,,,,,
EFFECT_ADJUST_PLAYER_ADJUST_ENVOYS_NON_SPECIALTY,,,,,,,
EFFECT_ADJUST_PLAYER_FEAUTE_REQUIRED_FOR_SPECIALTY_DISTRICTS,,,,,,,
EFFECT_ADJUST_PLAYER_FREE_BUILDING_WHEN_SPECIALTY_DISTRICT_CONSTRUCTED,,,,,,,
EFFECT_ADJUST_PLAYER_FREE_BUILDING_WHEN_SPECIALTY_DISTRICT_CONSTRUCTED_EXCEPT,,,,,,,
EFFECT_ADJUST_PLAYER_SPECIALTY_DISTRICT_CANNOT_BE_BUILT_ADJACENT_TO_CITY,,,,,,,
EFFECT_ADJUST_PLAYER_SPECIFIC_DISTRICT_GRANT_ENVOYS,,,,,,,
EFFECT_PLAYER_ADJUST_YIELD_FROM_DELEGATIONS,,,,,,,
EFFECT_PLAYER_ADJUST_YIELD_FROM_EMBASSIES,,,,,,,
EFFECT_PLAYER_DISCOVER_HERO,,,,,,,
EFFECT_ADJUST_PLAYER_DISTRICT_AND_BUILDINGS_CREATE_UNIT_WITH_ABILITY_BY_CLASS,,,,,,,
EFFECT_ADJUST_PLAYER_DISTRICT_CREATE_UNIT,,,,,,,
EFFECT_ADJUST_PLAYER_DISTRICT_CREATE_YIELD,,,,,,,
EFFECT_GRANT_RANDOM_BASE_PROMOTION,,,,,,,
EFFECT_PURCHASE_PRODUCTION_IN_CITY,,,,,,,
EFFECT_RESTORE_UNIT_MOVEMENT,,,,,,,
EFFECT_STEAL_POP_ON_PLOT_TO_CREATE_UNIT,,,,,,,
EFFECT_TREAT_CAPITAL_AS_HOLY_CITY,,,,,,,
EFFECT_TRIGGER_GAME_MECHANIC,,,,,,,
EFFECT_UNIT_TELEPORT,,,,,,,
EFFECT_UNIT_TRANSFER_CITY_AS_GIFT_AND_APPLY_MODIFIER,,,,,,,
EFFECT_ADD_DIPLOMATIC_ACTION_OVERRIDE,,,,,,,
EFFECT_ADD_DIPLOMATIC_COMBAT_MODIFIER,,,,,,,
EFFECT_ADD_DIPLOMATIC_MOVEMENT_MODIFIER,,,,,,,
EFFECT_ADD_DIPLOMATIC_YIELD_MODIFIER,,,,,,,
EFFECT_ADD_PLAYER_UPGRADE_MILITARY_FORMATION_ON_CITY_CONQUEST,,,,,,,
EFFECT_ADJUST_ACCUMULATING_BONUS,,,,,,,
EFFECT_ADJUST_ALL_BUILDING_PRODUCTION_MODIFIER,,,,,,,
EFFECT_ADJUST_ALL_BUILDINGS_PURCHASE_COST,,,,,,,
EFFECT_ADJUST_ALL_UNIT_PRODUCTION_MODIFIER,,,,,,,
EFFECT_ADJUST_ALLIANCE_PLAYER_STRENGTH_MODIFIER,,,,,,,
EFFECT_ADJUST_ATTACKER_STRENGTH_MODIFIER,,,,,,,
EFFECT_ADJUST_BONUS_RATE,,,,,,,
EFFECT_ADJUST_BUILDING_YIELD_CHANGE,,,,,,,
EFFECT_ADJUST_BUILDING_YIELD_MODIFIERS_FOR_DISTRICT,,,,,,,
EFFECT_ADJUST_CITY_AIR_DEFENSE_BONUS,,,,,,,
EFFECT_ADJUST_CITY_ALL_YIELDS_CHANGE,,,,,,,
EFFECT_ADJUST_CITY_ALLOWED_IMPROVEMENT,,,,,,,
EFFECT_ADJUST_CITY_ALLOWED_INCOMING_REGIONAL_STACKING,,,,,,,
EFFECT_ADJUST_CITY_ALWAYS_LOYAL,,,,,,,
EFFECT_ADJUST_CITY_AMENITIES_FROM_GOVERNORS,,,,,,,
EFFECT_ADJUST_CITY_ATTACKS_PER_TURN,,,,,,,
EFFECT_ADJUST_CITY_CAN_PURCHASE_DISTRICTS,,,,,,,
EFFECT_ADJUST_CITY_COMBAT_BONUS,,,,,,,
EFFECT_ADJUST_CITY_GOLD_FROM_CITIZENS,,,,,,,
EFFECT_ADJUST_CITY_GREAT_PERSON_POINTS_MODIFIER,,,,,,,
EFFECT_ADJUST_CITY_HOUSING_PER_DISTRICT,,,,,,,
EFFECT_ADJUST_CITY_IDENTITY_PER_CITIZEN,,,,,,,
EFFECT_ADJUST_CITY_IDENTITY_PER_TURN,,,,,,,
EFFECT_ADJUST_CITY_IDENTITY_PRESSURE,,,,,,,
EFFECT_ADJUST_CITY_IDENTITY_PRESSURE_FROM_AGES,,,,,,,
EFFECT_ADJUST_CITY_IGNORE_STRATEGIC_RESOURCE_REQUIREMENTS,,,,,,,
EFFECT_ADJUST_CITY_RELIGION_IGNORE_COMBAT,,,,,,,
EFFECT_ADJUST_CITY_RELIGION_IGNORE_PRESSURE,,,,,,,
EFFECT_ADJUST_CITY_RELIGION_PRESSURE,,,,,,,
EFFECT_ADJUST_CITY_RELIGIOUS_COMBAT_BONUS,,,,,,,
EFFECT_ADJUST_CITY_RELIGIOUS_HEAL,,,,,,,
EFFECT_ADJUST_CITY_RESOURCE_HARVEST_BONUS,,,,,,,
EFFECT_ADJUST_CITY_SETTLER_CONSUME_POP,,,,,,,
EFFECT_ADJUST_CITY_SIEGE_PROTECTION,,,,,,,
EFFECT_ADJUST_CITY_TOURISM,,,,,,,
EFFECT_ADJUST_CITY_YIELD_MODIFIER_PER_GOVERNOR_TITLE,,,,,,,
EFFECT_ADJUST_CITY_YIELD_PER_POPULATION,,,,,,,
EFFECT_ADJUST_CORPS_ARMY_MODIFIED_STRENGTH,,,,,,,
EFFECT_ADJUST_DEFENDER_STRENGTH_MODIFIER,,,,,,,
EFFECT_ADJUST_DISABLE_HEALING,,,,,,,
EFFECT_ADJUST_DISABLE_INFLUENCE,,,,,,,
EFFECT_ADJUST_DISABLE_PATRONAGE,,,,,,,
EFFECT_ADJUST_DISABLE_SETTLING,,,,,,,
EFFECT_ADJUST_DISTRICT_GREAT_PERSON_POINTS,,,,,,,
EFFECT_ADJUST_DISTRICT_YIELD_BASED_ON_APPEAL,,,,,,,
EFFECT_ADJUST_DUPLICATE_INFLUENCE_TOKEN_WHEN_SAME_RELIGION,,,,,,,
EFFECT_ADJUST_EXTRA_STARTING_POPULATION_OFF_HOME_CONTINENT,,,,,,,
EFFECT_ADJUST_GOVERNOR_IDENTITY_PRESSURE,AdjustGovernorIdentityPressure,Game Effect for adjusting the external domestic and foreign identity pressure strengths of a Governor.,,,,{C58ED836-370A-4E08-8A5B-0323B631B4B6},
EFFECT_ADJUST_IMPROVEMENT_AMENITY,,,,,,,
EFFECT_ADJUST_INQUISITION_START_CHARGES,,,,,,,
EFFECT_ADJUST_NEUTRALIZE_INDEFINITELY,,,,,,,
EFFECT_ADJUST_ALLIANCE_POINTS_FOR_COMMON_ENEMY_MODIFIER,,,,,,,
EFFECT_ADJUST_ALLIANCE_POINTS_FOR_MODIFIER,,,,,,,
EFFECT_ADJUST_ALLIANCE_POINTS_FOR_TRADE_MODIFIER,,,,,,,
EFFECT_ADJUST_PLAYER_ALL_ALLIANCES_PROVIDE_SHARED_VIS,,,,,,,
EFFECT_ADJUST_PLAYER_ALWAYS_ALLOW_COMMEMORATION_QUEST_COUNT,,,,,,,
EFFECT_ADJUST_PLAYER_CULTURAL_IDENTITY_PRESSURE_RADIUS_FROM_CAPITAL,,,,,,,
EFFECT_ADJUST_PLAYER_ERA_SCORE_PER_PRIDE_MOMENT,,,,,,,
EFFECT_ADJUST_PLAYER_ERA_SCORE_PER_AERODROME_BUILDING_CONSTRUCTED,,,,,,,
EFFECT_ADJUST_PLAYER_ERA_SCORE_PER_ARMY_KILLED,,,,,,,
EFFECT_ADJUST_PLAYER_ERA_SCORE_PER_ARTIFACT_EXTRACTED,,,,,,,
EFFECT_ADJUST_PLAYER_ERA_SCORE_PER_CITY_RELIGION_CONVERSION,,,,,,,
EFFECT_ADJUST_PLAYER_ERA_SCORE_PER_CIVIC_BOOST,,,,,,,
EFFECT_ADJUST_PLAYER_ERA_SCORE_PER_CONTINENT_DISCOVERED,,,,,,,
EFFECT_ADJUST_PLAYER_ERA_SCORE_PER_CORPS_KILLED,,,,,,,
EFFECT_ADJUST_PLAYER_ERA_SCORE_PER_CULTURE_BUILDING_CONSTRUCTED,,,,,,,
EFFECT_ADJUST_PLAYER_ERA_SCORE_PER_CURRENT_CIVIC,,,,,,,
EFFECT_ADJUST_PLAYER_ERA_SCORE_PER_CURRENT_TECH,,,,,,,
EFFECT_ADJUST_PLAYER_ERA_SCORE_PER_DISTRICT_CONSTRUCTED,,,,,,,
EFFECT_ADJUST_PLAYER_ERA_SCORE_PER_GREAT_PERSON_EARNED,,,,,,,
EFFECT_ADJUST_PLAYER_ERA_SCORE_PER_INDUSTRIAL_BUILDING_CONSTRUCTED,,,,,,,
EFFECT_ADJUST_PLAYER_ERA_SCORE_PER_NATURAL_WONDER_DISCOVERED,,,,,,,
EFFECT_ADJUST_PLAYER_ERA_SCORE_PER_NON_BARBARIAN_UNIT_SEA_KILLED,,,,,,,
EFFECT_ADJUST_PLAYER_ERA_SCORE_PER_SCIENCE_BUILDING_CONSTRUCTED,,,,,,,
EFFECT_ADJUST_PLAYER_ERA_SCORE_PER_SPY_SUCCESSFUL_MISSION,,,,,,,
EFFECT_ADJUST_PLAYER_ERA_SCORE_PER_TECH_BOOST,,,,,,,
EFFECT_ADJUST_PLAYER_ERA_SCORE_PER_TRADE_ROUTE_COMPLETED,,,,,,,
EFFECT_ADJUST_PLAYER_ERA_SCORE_PER_UNIT_PROMOTION_EARNED,,,,,,,
EFFECT_ADJUST_PLAYER_TRADE_GAIN_TILES_EN_ROUTE,,,,,,,
EFFECT_ADJUST_PLAYER_GOVERNOR_POINTS,,,,,,,
EFFECT_ADJUST_PLAYER_IDENTITY_PER_TURN_FOR_DOMESTIC_TRADE_ROUTE_ORIGIN,,,,,,,
EFFECT_ADJUST_PLAYER_IMMEDIATE_TRADING_POST,,,,,,,
EFFECT_ADJUST_PLAYER_LOYALTY_MARTIAL_LAW_MODIFIER,,,,,,,
EFFECT_ADJUST_PLAYER_POST_COMBAT_LOYALTY,AdjustPlayerPostCombatLoyalty,Effect for setting the post combat city loyalty change,,,,{3BCA4C49-F422-44AE-8A10-857B3ECEFD3A},
EFFECT_ADJUST_PLAYER_POST_PILLAGE_LOYALTY,AdjustPlayerPostPillageLoyalty,Effect for setting the post pillage city loyalty change,,,,{3BCA4C49-F422-44AE-8A10-857B3ECEFD3A},
EFFECT_ADJUST_PLAYER_TOURISM_FROM_NATIONAL_PARKS,,,,,,,
EFFECT_ADJUST_PLAYER_TRADE_ROUTE_YIELD_MODIFIER,,,,,,,
EFFECT_ADJUST_PLAYER_UNIT_PROJECT_PERCENT,,,,,,,
EFFECT_ADJUST_PLAYER_WARMONGER_MULTIPLIER,,,,,,,
EFFECT_ADJUST_PROJECT_PRODUCTION,,,,,,,
EFFECT_ENABLE_RELIGION_AWARDS_ENVOY_RELIGIOUS_PRESSURE,,,,,,,
EFFECT_ADJUST_UNIT_SPY_OFFENSIVE_OPERATION_TIME,,,,,,,
EFFECT_ADJUST_TRADE_ROUTE_YIELD_CHANGE,,,,,,,
EFFECT_ADJUST_TRADE_ROUTE_YIELD_PER_SPECIALTY_DISTRICT_FOR_INTERNATIONAL,,,,,,,
EFFECT_ADJUST_TRADE_ROUTE_YIELD_TO_OTHERS,,,,,,,
EFFECT_ADJUST_TRAIT_AMENITY,,,,,,,
EFFECT_ADJUST_UNIT_COMBAT_UNIT_CAPTURE,,,,,,,
EFFECT_ADJUST_UNIT_DIPLO_VISIBILITY_COMBAT_MODIFIER,,,,,,,
EFFECT_ADJUST_UNIT_DIRECT_LOYALTY_DAMAGE,,,,,,,
EFFECT_ADJUST_UNIT_FAITH_ON_DISTRICT_PLUNDER,,,,,,,
EFFECT_ADJUST_UNIT_FAITH_ON_IMPROVEMENT_PLUNDER,,,,,,,
EFFECT_ADJUST_UNIT_PARADROP_ABILITY,,,,,,,
EFFECT_ADJUST_UNIT_PILLAGE_DISTRICT_MODIFIER,,,,,,,
EFFECT_ADJUST_UNIT_PILLAGE_IMPROVEMENT_MODIFIER,,,,,,,
EFFECT_ADJUST_UNIT_STRENGTH_FROM_CITY_CULTURAL_IDENTITY,,,,,,,
EFFECT_ADJUST_UNIT_VALID_TERRAIN,,Adjusts whether a unit can move into that terraintype.,,,,{B3DF7354-0054-4FA5-9423-324C7704DA9F},
EFFECT_ADJUST_PLAYER_WMD_MAINTENANCE_MODIFIER,,,,,,,
EFFECT_ALLIANCE_GRANT_SHARED_VIS,,,,,,,
EFFECT_ALLIANCE_CULTURE_SHARING,,,,,,,
EFFECT_ALLIANCE_ENVOY_POINTS_FROM_ALLY_TRIBUTARIES,,,,,,,
EFFECT_ALLIANCE_PRESSURE_FROM_NO_ALLY_RELIGION,,,,,,,
EFFECT_ALLIANCE_RESEARCH_AGREEMENT,,,,,,,
EFFECT_ALLIANCE_SCIENCE_SHARING,,,,,,,
EFFECT_ALLIANCE_TOURISM_SHARING,,,,,,,
EFFECT_ALLIANCE_YIELD_INCOME_FROM_ALLY_RELIGION,,,,,,,
EFFECT_ALLIANCE_SHARE_SUZERAIN,,,,,,,
EFFECT_ATTACH_PERMANENT_MODIFIER_TO_ADJACENT_PLOT_UNITS,Attach Modifier to Adjacent Plots,Attach a permanent modifier of the specified ID to the units around the provided plot.,,,,,
EFFECT_ATTACH_PERMANENT_MODIFIER_TO_PLOT_UNITS,Attach Modifier,Attach a modifier of the specified ID to units in the supplied plot.,,,,,
EFFECT_ATTACH_UNIT_MODIFIER,Attach Unit Modifier,Attach a modifier of the specified ID to the object.,,,,{B3DF7354-0054-4FA5-9423-324C7704DA9F},
EFFECT_DIPLOMACY_CULTURAL_ID,,,,,,,
EFFECT_DIPLOMACY_AGENDA_HORN_CHEST_LOINS,,,,,,,
EFFECT_DIPLOMACY_AGENDA_SHORT_LIFE_GLORY,,,,,,,
EFFECT_DIPLOMACY_BROKEN_PLEDGE,,,,,,,
EFFECT_DIPLOMACY_KEPT_PLEDGE,,,,,,,
EFFECT_DIPLOMACY_NO_PLEDGE,,,,,,,
EFFECT_DIPLOMACY_RANDOM,,,,,,,
EFFECT_DIPLOMACY_TRADE_RELATIONS,,,,,,,
EFFECT_DISTRICT_ADJACENCY,,,,,,,
EFFECT_FEATURE_ADJACENCY,,,,,,,
EFFECT_GOVERNOR_ADJUST_CITY_COPY_LUXURIES_FOR_IMPORT,,,,,,,
EFFECT_GOVERNOR_ADJUST_CITY_TOKENS_GRANTED,,,,,,,
EFFECT_GOVERNOR_ADJUST_CITY_TOKENS_GRANTED_MODIFIER,,,,,,,
EFFECT_GOVERNOR_ADJUST_IDENITITY_PER_TITLE,,,,,,,
EFFECT_GRANT_BOOST_WITH_GREAT_PERSON,,,,,,,
EFFECT_GRANT_CITY_LOYALTY,,,,,,,
EFFECT_GRANT_IMPROVEMENT_ADJACENT_YIELDS,,,,,,,
EFFECT_GRANT_RELIGIOUS_PRESSURE_BURST,,,,,,,
EFFECT_KILL_EMERGENCY_TARGET_SPIES_IN_CITY,,,,,,,
EFFECT_ADJUST_PLAYER_UNIT_BUILD_DISABLED,,,,,,,
EFFECT_REPLACE_PLAYER_GOVERNMENT_SLOT_TYPE,,,,,,,
EFFECT_RIVER_ADJACENCY,,,,,,,
EFFECT_TERRAIN_ADJACENCY,,,,,,,
EFFECT_TRADE_ROUTE_CANCEL,,,,,,,
EFFECT_TREAT_HOLY_SITE_AS_HOLY_CITY,,,,,,,
EFFECT_ACTIVATE_VOLCANOES,,,,,,,
EFFECT_ADD_PLAYER_FAVOR,,,,,,,
EFFECT_MOUNTAIN_PORTAL,,,,,,,
EFFECT_ADD_PLAYER_SEQUESTERED_CARBON,,,,,,,
EFFECT_ADJUST_ADDITIONAL_PILLAGING,,,,,,,
EFFECT_ADJUST_ADJACENT_CITY_RIVER_BUILDING_PRODUCTION,,,,,,,
EFFECT_ADJUST_ADJACENT_CITY_RIVER_DISTRICT_PRODUCTION,,,,,,,
EFFECT_ADJUST_ADJACENT_LEVIED_UNIT_COMBAT_BONUS,,,,,,,
EFFECT_ADJUST_ALL_DISTRICTS_PURCHASE_COST,,,,,,,
EFFECT_ADJUST_ALL_GREAT_WORKS_TOURISM_MODIFIER,,,,,,,
EFFECT_ADJUST_ALL_GREAT_WORKS_YIELDS_MODIFIER,,,,,,,
EFFECT_ADJUST_ALL_UNITS_PURCHASE_COST,,,,,,,
EFFECT_ADJUST_RELIGION_ANYONE_CONDEMNS_FAVOR,,,,,,,
EFFECT_ADJUST_PLAYER_ANYONE_PLUNDER_FAVOR,,,,,,,
EFFECT_ADJUST_PLAYER_ANYONE_TRADE_TO_FAVOR,,,,,,,
