Type,Name,Value,PropertyType
GREATWORK_HERO_EPIC_ANANSI,GREATWORKOBJECT_IS_RELIGIOUS,1,PROPERTYTYPE_IDENTITY
GREATWORK_HERO_SYMBOL_ARTHUR,GREATWORKOBJECT_IS_RELIGIOUS,1,PROPERTYTYPE_IDENTITY
GREATWORK_HERO_EPIC_ARTHUR,GREATWORKOBJECT_IS_RELIGIOUS,1,PROPERTYTYPE_IDENTITY
GREATWORK_HERO_SYMBOL_BEOWULF,GREATWORKOBJECT_IS_RELIGIOUS,1,PROPERTYTYPE_IDENTITY
GREATWORK_HERO_EPIC_BEOWULF,GREATWORKOBJECT_IS_RELIGIOUS,1,PROPERTYTYPE_IDENTITY
GREATWORK_HERO_SYMBOL_HERCULES,GREATWORKOBJECT_IS_RELIGIOUS,1,PROPERTYTYPE_IDENTITY
GREATWORK_HERO_EPIC_HERCULES,GREATWORKOBJECT_IS_RELIGIOUS,1,PROPERTYTYPE_IDENTITY
GREATWORK_HERO_SYMBOL_HIMIKO,GREATWORKOBJECT_IS_RELIGIOUS,1,PROPERTYTYPE_IDENTITY
GREATWORK_HERO_EPIC_HIMIKO,GREATWORKOBJECT_IS_RELIGIOUS,1,PROPERTYTYPE_IDENTITY
GREATWORK_HERO_SYMBOL_HIPPOLYTA,GREATWORKOBJECT_IS_RELIGIOUS,1,PROPERTYTYPE_IDENTITY
GREATWORK_HERO_EPIC_HIPPOLYTA,GREATWORKOBJECT_IS_RELIGIOUS,1,PROPERTYTYPE_IDENTITY
GREATWORK_HERO_SYMBOL_HUNAHPU,GREATWORKOBJECT_IS_RELIGIOUS,1,PROPERTYTYPE_IDENTITY
GREATWORK_HERO_EPIC_HUNAHPU,GREATWORKOBJECT_IS_RELIGIOUS,1,PROPERTYTYPE_IDENTITY
GREATWORK_HERO_SYMBOL_OYA,GREATWORKOBJECT_IS_RELIGIOUS,1,PROPERTYTYPE_IDENTITY
GREATWORK_HERO_EPIC_OYA,GREATWORKOBJECT_IS_RELIGIOUS,1,PROPERTYTYPE_IDENTITY
GREATWORK_HERO_SYMBOL_MAUI,GREATWORKOBJECT_IS_RELIGIOUS,1,PROPERTYTYPE_IDENTITY
GREATWORK_HERO_EPIC_MAUI,GREATWORKOBJECT_IS_RELIGIOUS,1,PROPERTYTYPE_IDENTITY
GREATWORK_HERO_SYMBOL_MULAN,GREATWORKOBJECT_IS_RELIGIOUS,1,PROPERTYTYPE_IDENTITY
GREATWORK_HERO_EPIC_MULAN,GREATWORKOBJECT_IS_RELIGIOUS,1,PROPERTYTYPE_IDENTITY
GREATWORK_HERO_SYMBOL_SINBAD,GREATWORKOBJECT_IS_RELIGIOUS,1,PROPERTYTYPE_IDENTITY
GREATWORK_HERO_EPIC_SINBAD,GREATWORKOBJECT_IS_RELIGIOUS,1,PROPERTYTYPE_IDENTITY
GREATWORK_HERO_SYMBOL_WUKONG,GREATWORKOBJECT_IS_RELIGIOUS,1,PROPERTYTYPE_IDENTITY
GREATWORK_HERO_EPIC_WUKONG,GREATWORKOBJECT_IS_RELIGIOUS,1,PROPERTYTYPE_IDENTITY
HEROCLASS_ANANSI,HERO_LOYALTY_CHANGE_RANGE,2,PROPERTYTYPE_IDENTITY
HEROCLASS_ARTHUR,HERO_LOYALTY_CHANGE_RANGE,2,PROPERTYTYPE_IDENTITY
HEROCLASS_BEOWULF,HERO_LOYALTY_CHANGE_RANGE,2,PROPERTYTYPE_IDENTITY
HEROCLASS_HERCULES,HERO_LOYALTY_CHANGE_RANGE,2,PROPERTYTYPE_IDENTITY
HEROCLASS_HIMIKO,HERO_LOYALTY_CHANGE_RANGE,2,PROPERTYTYPE_IDENTITY
HEROCLASS_HIPPOLYTA,HERO_LOYALTY_CHANGE_RANGE,2,PROPERTYTYPE_IDENTITY
HEROCLASS_HUNAHPU,HERO_LOYALTY_CHANGE_RANGE,2,PROPERTYTYPE_IDENTITY
HEROCLASS_OYA,HERO_LOYALTY_CHANGE_RANGE,2,PROPERTYTYPE_IDENTITY
HEROCLASS_MAUI,HERO_LOYALTY_CHANGE_RANGE,2,PROPERTYTYPE_IDENTITY
HEROCLASS_MULAN,HERO_LOYALTY_CHANGE_RANGE,2,PROPERTYTYPE_IDENTITY
HEROCLASS_SINBAD,HERO_LOYALTY_CHANGE_RANGE,2,PROPERTYTYPE_IDENTITY
HEROCLASS_WUKONG,HERO_LOYALTY_CHANGE_RANGE,2,PROPERTYTYPE_IDENTITY
HEROCLASS_ANANSI,HERO_LOYALTY_CHANGE_PER_TURN,1,PROPERTYTYPE_IDENTITY
HEROCLASS_ARTHUR,HERO_LOYALTY_CHANGE_PER_TURN,1,PROPERTYTYPE_IDENTITY
HEROCLASS_BEOWULF,HERO_LOYALTY_CHANGE_PER_TURN,1,PROPERTYTYPE_IDENTITY
HEROCLASS_HERCULES,HERO_LOYALTY_CHANGE_PER_TURN,1,PROPERTYTYPE_IDENTITY
HEROCLASS_HIMIKO,HERO_LOYALTY_CHANGE_PER_TURN,1,PROPERTYTYPE_IDENTITY
HEROCLASS_HIPPOLYTA,HERO_LOYALTY_CHANGE_PER_TURN,1,PROPERTYTYPE_IDENTITY
HEROCLASS_HUNAHPU,HERO_LOYALTY_CHANGE_PER_TURN,1,PROPERTYTYPE_IDENTITY
HEROCLASS_OYA,HERO_LOYALTY_CHANGE_PER_TURN,1,PROPERTYTYPE_IDENTITY
HEROCLASS_MAUI,HERO_LOYALTY_CHANGE_PER_TURN,1,PROPERTYTYPE_IDENTITY
HEROCLASS_MULAN,HERO_LOYALTY_CHANGE_PER_TURN,1,PROPERTYTYPE_IDENTITY
HEROCLASS_SINBAD,HERO_LOYALTY_CHANGE_PER_TURN,1,PROPERTYTYPE_IDENTITY
HEROCLASS_WUKONG,HERO_LOYALTY_CHANGE_PER_TURN,1,PROPERTYTYPE_IDENTITY
UNITCOMMAND_RESOURCE_INSPIRE,GRIEVANCES_PER_ACTION,15,PROPERTYTYPE_IDENTITY
