MomentType,Name,Description,InstanceDescription,InterestLevel,EraScore,RepeatTurnCooldown,CommemorationType,MinimumGameEra,MaximumGameEra,BackgroundTexture,IconTexture,MomentIllustrationType,ObsoleteEra
MOMENT_GOVERNMENT_ENACTED_TIER_2_FIRST,LOC_MOMENT_GOVERNMENT_ENACTED_TIER_2_FIRST,LOC_MOMENT_GOVERNMENT_ENACTED_TIER_2_FIRST_DESCRIPTION,LOC_MOMENT_GOVERNMENT_ENACTED_TIER_2_FIRST_INSTANCE_DESCRIPTION,3,2.0,,,,,,,MOMENT_ILLUSTRATION_GOVERNMENT,ERA_RENAISSANCE
MOMENT_GOVERNMENT_ENACTED_TIER_2_FIRST_IN_WORLD,LOC_MOMENT_GOVERNMENT_ENACTED_TIER_2_FIRST_IN_WORLD,LOC_MOMENT_GOVERNMENT_ENACTED_TIER_2_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_GOVERNMENT_ENACTED_TIER_2_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,3.0,,,,,,,MOMENT_ILLUSTRATION_GOVERNMENT,ERA_RENAISSANCE
MOMENT_GOVERNMENT_ENACTED_TIER_3_FIRST,LOC_MOMENT_GOVERNMENT_ENACTED_TIER_3_FIRST,LOC_MOMENT_GOVERNMENT_ENACTED_TIER_3_FIRST_DESCRIPTION,LOC_MOMENT_GOVERNMENT_ENACTED_TIER_3_FIRST_INSTANCE_DESCRIPTION,3,2.0,,,,,,,MOMENT_ILLUSTRATION_GOVERNMENT,ERA_ATOMIC
MOMENT_GOVERNMENT_ENACTED_TIER_3_FIRST_IN_WORLD,LOC_MOMENT_GOVERNMENT_ENACTED_TIER_3_FIRST_IN_WORLD,LOC_MOMENT_GOVERNMENT_ENACTED_TIER_3_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_GOVERNMENT_ENACTED_TIER_3_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,3.0,,,,,,,MOMENT_ILLUSTRATION_GOVERNMENT,ERA_ATOMIC
MOMENT_GOVERNOR_ALL_APPOINTED_FIRST,LOC_MOMENT_GOVERNOR_ALL_APPOINTED_FIRST,LOC_MOMENT_GOVERNOR_ALL_APPOINTED_FIRST_DESCRIPTION,LOC_MOMENT_GOVERNOR_ALL_APPOINTED_FIRST_INSTANCE_DESCRIPTION,3,1.0,,,,,Moment_PromoteGovernor_AllGovernors.dds,,,
MOMENT_GOVERNOR_FULLY_PROMOTED_FIRST,LOC_MOMENT_GOVERNOR_FULLY_PROMOTED_FIRST,LOC_MOMENT_GOVERNOR_FULLY_PROMOTED_FIRST_DESCRIPTION,LOC_MOMENT_GOVERNOR_FULLY_PROMOTED_FIRST_INSTANCE_DESCRIPTION,3,1.0,,,,,,,MOMENT_ILLUSTRATION_GOVERNOR,ERA_MODERN
MOMENT_GREAT_PERSON_CREATED_GAME_ERA,LOC_MOMENT_GREAT_PERSON_CREATED_GAME_ERA,LOC_MOMENT_GREAT_PERSON_CREATED_GAME_ERA_DESCRIPTION,LOC_MOMENT_GREAT_PERSON_CREATED_GAME_ERA_INSTANCE_DESCRIPTION,1,1.0,,,,,,MomentSmall_GreatPerson,,
MOMENT_GREAT_PERSON_CREATED_PAST_ERA,LOC_MOMENT_GREAT_PERSON_CREATED_PAST_ERA,LOC_MOMENT_GREAT_PERSON_CREATED_PAST_ERA_DESCRIPTION,LOC_MOMENT_GREAT_PERSON_CREATED_PAST_ERA_INSTANCE_DESCRIPTION,1,1.0,,,,,,MomentSmall_GreatPerson,,
MOMENT_GREAT_PERSON_CREATED_PATRONAGE_FAITH_OVER_HALF,LOC_MOMENT_GREAT_PERSON_CREATED_PATRONAGE_FAITH_OVER_HALF,LOC_MOMENT_GREAT_PERSON_CREATED_PATRONAGE_FAITH_OVER_HALF_DESCRIPTION,LOC_MOMENT_GREAT_PERSON_CREATED_PATRONAGE_FAITH_OVER_HALF_INSTANCE_DESCRIPTION,3,3.0,,,,,Moment_EarnGreatPersonWithFaith.dds,,,
MOMENT_GREAT_PERSON_CREATED_PATRONAGE_GOLD_OVER_HALF,LOC_MOMENT_GREAT_PERSON_CREATED_PATRONAGE_GOLD_OVER_HALF,LOC_MOMENT_GREAT_PERSON_CREATED_PATRONAGE_GOLD_OVER_HALF_DESCRIPTION,LOC_MOMENT_GREAT_PERSON_CREATED_PATRONAGE_GOLD_OVER_HALF_INSTANCE_DESCRIPTION,3,3.0,,,,,Moment_EarnGreatPersonWithGold.dds,,,
MOMENT_IMPROVEMENT_CONSTRUCTED_FIRST_UNIQUE,LOC_MOMENT_IMPROVEMENT_CONSTRUCTED_FIRST_UNIQUE,LOC_MOMENT_IMPROVEMENT_CONSTRUCTED_FIRST_UNIQUE_DESCRIPTION_XP2,LOC_MOMENT_IMPROVEMENT_CONSTRUCTED_FIRST_UNIQUE_INSTANCE_DESCRIPTION,3,4.0,,,,,,,MOMENT_ILLUSTRATION_UNIQUE_IMPROVEMENT,
MOMENT_IMPROVEMENT_CONSTRUCTED_SEASIDE_RESORT_FIRST,LOC_MOMENT_IMPROVEMENT_CONSTRUCTED_SEASIDE_RESORT_FIRST,LOC_MOMENT_IMPROVEMENT_CONSTRUCTED_SEASIDE_RESORT_FIRST_DESCRIPTION,LOC_MOMENT_IMPROVEMENT_CONSTRUCTED_SEASIDE_RESORT_FIRST_INSTANCE_DESCRIPTION,3,2.0,,,,,Moment_CreatedSeasideResort.dds,,,
MOMENT_IMPROVEMENT_CONSTRUCTED_SEASIDE_RESORT_FIRST_IN_WORLD,LOC_MOMENT_IMPROVEMENT_CONSTRUCTED_SEASIDE_RESORT_FIRST_IN_WORLD,LOC_MOMENT_IMPROVEMENT_CONSTRUCTED_SEASIDE_RESORT_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_IMPROVEMENT_CONSTRUCTED_SEASIDE_RESORT_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,3.0,,,,,Moment_CreatedSeasideResort.dds,,,
MOMENT_INQUISITION_LAUNCHED,LOC_MOMENT_INQUISITION_LAUNCHED,LOC_MOMENT_INQUISITION_LAUNCHED_DESCRIPTION,LOC_MOMENT_INQUISITION_LAUNCHED_INSTANCE_DESCRIPTION,3,1.0,,,,,Moment_BeganInquisition.dds,,,
MOMENT_INQUISITION_LAUNCHED_FIRST_IN_WORLD,LOC_MOMENT_INQUISITION_LAUNCHED_FIRST_IN_WORLD,LOC_MOMENT_INQUISITION_LAUNCHED_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_INQUISITION_LAUNCHED_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,2.0,,,,,Moment_BeganInquisition.dds,,,
MOMENT_NATIONAL_PARK_CREATED,LOC_MOMENT_NATIONAL_PARK_CREATED,LOC_MOMENT_NATIONAL_PARK_CREATED_DESCRIPTION,LOC_MOMENT_NATIONAL_PARK_CREATED_INSTANCE_DESCRIPTION,3,3.0,,,,,Moment_NationalPark.dds,,,
MOMENT_NATIONAL_PARK_CREATED_FIRST_IN_WORLD,LOC_MOMENT_NATIONAL_PARK_CREATED_FIRST_IN_WORLD,LOC_MOMENT_NATIONAL_PARK_CREATED_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_NATIONAL_PARK_CREATED_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,4.0,,,,,Moment_NationalPark.dds,,,
MOMENT_PANTHEON_FOUNDED,LOC_MOMENT_PANTHEON_FOUNDED,LOC_MOMENT_PANTHEON_FOUNDED_DESCRIPTION,LOC_MOMENT_PANTHEON_FOUNDED_INSTANCE_DESCRIPTION,1,1.0,,,,,,MomentSmall_Religion,,ERA_MEDIEVAL
MOMENT_PANTHEON_FOUNDED_FIRST_IN_WORLD,LOC_MOMENT_PANTHEON_FOUNDED_FIRST_IN_WORLD,LOC_MOMENT_PANTHEON_FOUNDED_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_PANTHEON_FOUNDED_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,2.0,,,,,Moment_FoundedPantheon.dds,,,ERA_MEDIEVAL
MOMENT_PLAYER_GAVE_ENVOY_BECAME_SUZERAIN_FIRST_IN_WORLD,LOC_MOMENT_PLAYER_GAVE_ENVOY_BECAME_SUZERAIN_FIRST_IN_WORLD,LOC_MOMENT_PLAYER_GAVE_ENVOY_BECAME_SUZERAIN_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_PLAYER_GAVE_ENVOY_BECAME_SUZERAIN_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,2.0,,,,,Moment_FirstSuzerain.dds,,,ERA_MEDIEVAL
MOMENT_PLAYER_GAVE_ENVOY_CANCELED_LEVY,LOC_MOMENT_PLAYER_GAVE_ENVOY_CANCELED_LEVY,LOC_MOMENT_PLAYER_GAVE_ENVOY_CANCELED_LEVY_DESCRIPTION,LOC_MOMENT_PLAYER_GAVE_ENVOY_CANCELED_LEVY_INSTANCE_DESCRIPTION,3,2.0,,,,,Moment_CancelledSuzerianLeviedMilitary.dds,,,
MOMENT_PLAYER_GAVE_ENVOY_CANCELED_SUZERAIN_DURING_WAR,LOC_MOMENT_PLAYER_GAVE_ENVOY_CANCELED_SUZERAIN_DURING_WAR,LOC_MOMENT_PLAYER_GAVE_ENVOY_CANCELED_SUZERAIN_DURING_WAR_DESCRIPTION,LOC_MOMENT_PLAYER_GAVE_ENVOY_CANCELED_SUZERAIN_DURING_WAR_INSTANCE_DESCRIPTION,3,2.0,,,,,Moment_CancelledSuzerianWar.dds,,,
MOMENT_PLAYER_LEVIED_MILITARY,LOC_MOMENT_PLAYER_LEVIED_MILITARY,LOC_MOMENT_PLAYER_LEVIED_MILITARY_DESCRIPTION,LOC_MOMENT_PLAYER_LEVIED_MILITARY_INSTANCE_DESCRIPTION,1,1.0,,,,,,MomentSmall_Military,,
MOMENT_PLAYER_LEVIED_MILITARY_NEAR_ENEMY_CITY,LOC_MOMENT_PLAYER_LEVIED_MILITARY_NEAR_ENEMY_CITY,LOC_MOMENT_PLAYER_LEVIED_MILITARY_NEAR_ENEMY_CITY_DESCRIPTION,LOC_MOMENT_PLAYER_LEVIED_MILITARY_NEAR_ENEMY_CITY_INSTANCE_DESCRIPTION,3,2.0,,,,,Moment_LevyMilitaryNearEnemy.dds,,,
MOMENT_PLAYER_MET_ALL_MAJORS,LOC_MOMENT_PLAYER_MET_ALL_MAJORS,LOC_MOMENT_PLAYER_MET_ALL_MAJORS_DESCRIPTION,LOC_MOMENT_PLAYER_MET_ALL_MAJORS_INSTANCE_DESCRIPTION,2,3.0,,,,,Moment_MetCivPlayer.dds,,,
MOMENT_PLAYER_MET_ALL_MAJORS_FIRST_IN_WORLD,LOC_MOMENT_PLAYER_MET_ALL_MAJORS_FIRST_IN_WORLD,LOC_MOMENT_PLAYER_MET_ALL_MAJORS_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_PLAYER_MET_ALL_MAJORS_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,2,5.0,,,,,Moment_MetAllCivs.dds,,,
MOMENT_PLAYER_MET_MAJOR,LOC_MOMENT_PLAYER_MET_MAJOR,LOC_MOMENT_PLAYER_MET_MAJOR_DESCRIPTION,LOC_MOMENT_PLAYER_MET_MAJOR_INSTANCE_DESCRIPTION,1,1.0,,,,,,MomentSmall_Diplomacy,,
MOMENT_PROJECT_FOUNDED_MANHATTEN,LOC_MOMENT_PROJECT_FOUNDED_MANHATTEN,LOC_MOMENT_PROJECT_FOUNDED_MANHATTEN_DESCRIPTION,LOC_MOMENT_PROJECT_FOUNDED_MANHATTEN_INSTANCE_DESCRIPTION,1,2.0,,,,,,MomentSmall_Science,,
MOMENT_PROJECT_FOUNDED_MARS,LOC_MOMENT_PROJECT_FOUNDED_MARS_XP2,LOC_MOMENT_PROJECT_FOUNDED_MARS_DESCRIPTION_XP2,LOC_MOMENT_PROJECT_FOUNDED_MARS_INSTANCE_DESCRIPTION_XP2,1,2.0,,,,,,MomentSmall_Science,,
MOMENT_PROJECT_FOUNDED_MARS_FIRST_IN_WORLD,LOC_MOMENT_PROJECT_FOUNDED_MARS_FIRST_IN_WORLD_XP2,LOC_MOMENT_PROJECT_FOUNDED_MARS_FIRST_IN_WORLD_DESCRIPTION_XP2,LOC_MOMENT_PROJECT_FOUNDED_MARS_FIRST_IN_WORLD_INSTANCE_DESCRIPTION_XP2,3,4.0,,,,,Moment_FirstMarsComponent.dds,,,
MOMENT_PROJECT_FOUNDED_MOON_LANDING,LOC_MOMENT_PROJECT_FOUNDED_MOON_LANDING,LOC_MOMENT_PROJECT_FOUNDED_MOON_LANDING_DESCRIPTION,LOC_MOMENT_PROJECT_FOUNDED_MOON_LANDING_INSTANCE_DESCRIPTION,1,2.0,,,,,,MomentSmall_Science,,
MOMENT_PROJECT_FOUNDED_MOON_LANDING_FIRST_IN_WORLD,LOC_MOMENT_PROJECT_FOUNDED_MOON_LANDING_FIRST_IN_WORLD,LOC_MOMENT_PROJECT_FOUNDED_MOON_LANDING_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_PROJECT_FOUNDED_MOON_LANDING_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,4.0,,,,,Moment_MoonLanding.dds,,,
MOMENT_PROJECT_FOUNDED_OPERATION_IVY,LOC_MOMENT_PROJECT_FOUNDED_OPERATION_IVY,LOC_MOMENT_PROJECT_FOUNDED_OPERATION_IVY_DESCRIPTION,LOC_MOMENT_PROJECT_FOUNDED_OPERATION_IVY_INSTANCE_DESCRIPTION,1,2.0,,,,,,MomentSmall_Science,,
MOMENT_PROJECT_FOUNDED_SATELLITE_LAUNCH,LOC_MOMENT_PROJECT_FOUNDED_SATELLITE_LAUNCH,LOC_MOMENT_PROJECT_FOUNDED_SATELLITE_LAUNCH_DESCRIPTION,LOC_MOMENT_PROJECT_FOUNDED_SATELLITE_LAUNCH_INSTANCE_DESCRIPTION,1,2.0,,,,,,MomentSmall_Science,,
MOMENT_PROJECT_FOUNDED_SATELLITE_LAUNCH_FIRST_IN_WORLD,LOC_MOMENT_PROJECT_FOUNDED_SATELLITE_LAUNCH_FIRST_IN_WORLD,LOC_MOMENT_PROJECT_FOUNDED_SATELLITE_LAUNCH_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_PROJECT_FOUNDED_SATELLITE_LAUNCH_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,4.0,,,,,Moment_LaunchedSatellite.dds,,,
MOMENT_RELIGION_FOUNDED,LOC_MOMENT_RELIGION_FOUNDED,LOC_MOMENT_RELIGION_FOUNDED_DESCRIPTION,LOC_MOMENT_RELIGION_FOUNDED_INSTANCE_DESCRIPTION,3,2.0,,,,,PM_FoundedReligion.dds,,MOMENT_ILLUSTRATION_RELIGION,
MOMENT_RELIGION_FOUNDED_FIRST_IN_WORLD,LOC_MOMENT_RELIGION_FOUNDED_FIRST_IN_WORLD,LOC_MOMENT_RELIGION_FOUNDED_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_RELIGION_FOUNDED_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,3.0,,,,,PM_FoundedReligion.dds,,MOMENT_ILLUSTRATION_RELIGION,
MOMENT_SHIP_SUNK,LOC_MOMENT_SHIP_SUNK,LOC_MOMENT_SHIP_SUNK_DESCRIPTION,,0,,,,,,,,,
MOMENT_SPY_MAX_LEVEL,LOC_MOMENT_SPY_MAX_LEVEL,LOC_MOMENT_SPY_MAX_LEVEL_DESCRIPTION,LOC_MOMENT_SPY_MAX_LEVEL_INSTANCE_DESCRIPTION,1,1.0,,,,,,MomentSmall_Espionage,,
MOMENT_SPY_MAX_LEVEL_FIRST,LOC_MOMENT_SPY_MAX_LEVEL_FIRST,LOC_MOMENT_SPY_MAX_LEVEL_FIRST_DESCRIPTION,LOC_MOMENT_SPY_MAX_LEVEL_FIRST_INSTANCE_DESCRIPTION,3,2.0,,,,,Moment_SpyPromoted.dds,,,
MOMENT_TECH_RESEARCHED_IN_ERA_FIRST,LOC_MOMENT_TECH_RESEARCHED_IN_ERA_FIRST,LOC_MOMENT_TECH_RESEARCHED_IN_ERA_FIRST_DESCRIPTION,LOC_MOMENT_TECH_RESEARCHED_IN_ERA_FIRST_INSTANCE_DESCRIPTION,3,1.0,,,,,,,MOMENT_ILLUSTRATION_TECHNOLOGY_ERA,
MOMENT_TECH_RESEARCHED_IN_ERA_FIRST_IN_WORLD,LOC_MOMENT_TECH_RESEARCHED_IN_ERA_FIRST_IN_WORLD,LOC_MOMENT_TECH_RESEARCHED_IN_ERA_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_TECH_RESEARCHED_IN_ERA_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,2.0,,,,,,,MOMENT_ILLUSTRATION_TECHNOLOGY_ERA,
MOMENT_TRADING_POST_CONSTRUCTED_IN_EVERY_CIV,LOC_MOMENT_TRADING_POST_CONSTRUCTED_IN_EVERY_CIV,LOC_MOMENT_TRADING_POST_CONSTRUCTED_IN_EVERY_CIV_DESCRIPTION,LOC_MOMENT_TRADING_POST_CONSTRUCTED_IN_EVERY_CIV_INSTANCE_DESCRIPTION,3,3.0,,,,,Moment_TradePostNewCiv.dds,,,
MOMENT_TRADING_POST_CONSTRUCTED_IN_EVERY_CIV_FIRST_IN_WORLD,LOC_MOMENT_TRADING_POST_CONSTRUCTED_IN_EVERY_CIV_FIRST_IN_WORLD,LOC_MOMENT_TRADING_POST_CONSTRUCTED_IN_EVERY_CIV_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_TRADING_POST_CONSTRUCTED_IN_EVERY_CIV_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,5.0,,,,,Moment_Tradepost_AllCities.dds,,,
MOMENT_TRADING_POST_CONSTRUCTED_IN_OTHER_CIV,LOC_MOMENT_TRADING_POST_CONSTRUCTED_IN_OTHER_CIV,LOC_MOMENT_TRADING_POST_CONSTRUCTED_IN_OTHER_CIV_DESCRIPTION,LOC_MOMENT_TRADING_POST_CONSTRUCTED_IN_OTHER_CIV_INSTANCE_DESCRIPTION,1,1.0,,,,,,MomentSmall_Trade,,
MOMENT_UNIT_CREATED_FIRST_DOMAIN_AIR,LOC_MOMENT_UNIT_CREATED_FIRST_DOMAIN_AIR,LOC_MOMENT_UNIT_CREATED_FIRST_DOMAIN_AIR_DESCRIPTION,LOC_MOMENT_UNIT_CREATED_FIRST_DOMAIN_AIR_INSTANCE_DESCRIPTION,3,3.0,,,,,,,MOMENT_ILLUSTRATION_AIR_UNIT_ERA,
MOMENT_UNIT_CREATED_FIRST_DOMAIN_AIR_IN_WORLD,LOC_MOMENT_UNIT_CREATED_FIRST_DOMAIN_AIR_IN_WORLD,LOC_MOMENT_UNIT_CREATED_FIRST_DOMAIN_AIR_IN_WORLD_DESCRIPTION,LOC_MOMENT_UNIT_CREATED_FIRST_DOMAIN_AIR_IN_WORLD_INSTANCE_DESCRIPTION,3,5.0,,,,,,,MOMENT_ILLUSTRATION_AIR_UNIT_ERA,
MOMENT_UNIT_CREATED_FIRST_DOMAIN_SEA,LOC_MOMENT_UNIT_CREATED_FIRST_DOMAIN_SEA,LOC_MOMENT_UNIT_CREATED_FIRST_DOMAIN_SEA_DESCRIPTION,LOC_MOMENT_UNIT_CREATED_FIRST_DOMAIN_SEA_INSTANCE_DESCRIPTION,3,2.0,,,,,,,MOMENT_ILLUSTRATION_SEA_UNIT_ERA,
MOMENT_UNIT_CREATED_FIRST_DOMAIN_SEA_IN_WORLD,LOC_MOMENT_UNIT_CREATED_FIRST_DOMAIN_SEA_IN_WORLD,LOC_MOMENT_UNIT_CREATED_FIRST_DOMAIN_SEA_IN_WORLD_DESCRIPTION,LOC_MOMENT_UNIT_CREATED_FIRST_DOMAIN_SEA_IN_WORLD_INSTANCE_DESCRIPTION,3,3.0,,,,,,,MOMENT_ILLUSTRATION_SEA_UNIT_ERA,
MOMENT_UNIT_CREATED_FIRST_REQUIRING_STRATEGIC,LOC_MOMENT_UNIT_CREATED_FIRST_REQUIRING_STRATEGIC,LOC_MOMENT_UNIT_CREATED_FIRST_REQUIRING_STRATEGIC_DESCRIPTION,LOC_MOMENT_UNIT_CREATED_FIRST_REQUIRING_STRATEGIC_INSTANCE_DESCRIPTION,1,1.0,,,,,,MomentSmall_Military,,
MOMENT_UNIT_CREATED_FIRST_REQUIRING_STRATEGIC_IN_WORLD,LOC_MOMENT_UNIT_CREATED_FIRST_REQUIRING_STRATEGIC_IN_WORLD,LOC_MOMENT_UNIT_CREATED_FIRST_REQUIRING_STRATEGIC_IN_WORLD_DESCRIPTION,LOC_MOMENT_UNIT_CREATED_FIRST_REQUIRING_STRATEGIC_IN_WORLD_INSTANCE_DESCRIPTION,3,2.0,,,,,Moment_StrategicResourceUnit.dds,,,
MOMENT_UNIT_CREATED_FIRST_UNIQUE,LOC_MOMENT_UNIT_CREATED_FIRST_UNIQUE,LOC_MOMENT_UNIT_CREATED_FIRST_UNIQUE_DESCRIPTION,LOC_MOMENT_UNIT_CREATED_FIRST_UNIQUE_INSTANCE_DESCRIPTION,3,4.0,,,,,,,MOMENT_ILLUSTRATION_UNIQUE_UNIT,
MOMENT_UNIT_HIGH_LEVEL,LOC_MOMENT_UNIT_HIGH_LEVEL,LOC_MOMENT_UNIT_HIGH_LEVEL_DESCRIPTION,LOC_MOMENT_UNIT_HIGH_LEVEL_INSTANCE_DESCRIPTION,1,1.0,,,,,,MomentSmall_Military,,
MOMENT_UNIT_HIGH_LEVEL_FIRST,LOC_MOMENT_UNIT_HIGH_LEVEL_FIRST,LOC_MOMENT_UNIT_HIGH_LEVEL_FIRST_DESCRIPTION,LOC_MOMENT_UNIT_HIGH_LEVEL_FIRST_INSTANCE_DESCRIPTION,3,1.0,,,,,Moment_4StarUnit.dds,,,
MOMENT_UNIT_KILLED_ASSISTED_BY_ADMIRAL,LOC_MOMENT_UNIT_KILLED_ASSISTED_BY_ADMIRAL,LOC_MOMENT_UNIT_KILLED_ASSISTED_BY_ADMIRAL_DESCRIPTION,LOC_MOMENT_UNIT_KILLED_ASSISTED_BY_ADMIRAL_INSTANCE_DESCRIPTION,3,2.0,,,,,Moment_KillEnemyUnit_AdmiralNearby.dds,,,
MOMENT_UNIT_KILLED_ASSISTED_BY_GENERAL,LOC_MOMENT_UNIT_KILLED_ASSISTED_BY_GENERAL,LOC_MOMENT_UNIT_KILLED_ASSISTED_BY_GENERAL_DESCRIPTION,LOC_MOMENT_UNIT_KILLED_ASSISTED_BY_GENERAL_INSTANCE_DESCRIPTION,3,2.0,,,,,Moment_KillEnemy_GreatGeneralNearby.dds,,,
MOMENT_UNIT_KILLED_UNDERDOG_MILITARY_FORMATION,LOC_MOMENT_UNIT_KILLED_UNDERDOG_MILITARY_FORMATION,LOC_MOMENT_UNIT_KILLED_UNDERDOG_MILITARY_FORMATION_DESCRIPTION,LOC_MOMENT_UNIT_KILLED_UNDERDOG_MILITARY_FORMATION_INSTANCE_DESCRIPTION,3,1.0,,,,,Moment_KillEnemyUnit_HigherFormation.dds,,,
MOMENT_UNIT_KILLED_UNDERDOG_PROMOTIONS,LOC_MOMENT_UNIT_KILLED_UNDERDOG_PROMOTIONS,LOC_MOMENT_UNIT_KILLED_UNDERDOG_PROMOTIONS_DESCRIPTION,LOC_MOMENT_UNIT_KILLED_UNDERDOG_PROMOTIONS_INSTANCE_DESCRIPTION,3,3.0,,,,,Moment_KillEnemyUnit_TwoMorePromos.dds,,,
MOMENT_WAR_DECLARED_USING_CASUS_BELLI,LOC_MOMENT_WAR_DECLARED_USING_CASUS_BELLI,LOC_MOMENT_WAR_DECLARED_USING_CASUS_BELLI_DESCRIPTION,LOC_MOMENT_WAR_DECLARED_USING_CASUS_BELLI_INSTANCE_DESCRIPTION,1,2.0,,,,,,MomentSmall_Combat,,
MOMENT_WORLD_CIRCUMNAVIGATED,LOC_MOMENT_WORLD_CIRCUMNAVIGATED,LOC_MOMENT_WORLD_CIRCUMNAVIGATED_DESCRIPTION,LOC_MOMENT_WORLD_CIRCUMNAVIGATED_INSTANCE_DESCRIPTION,3,3.0,,,,,Moment_Circumnavigation.dds,,,
MOMENT_WORLD_CIRCUMNAVIGATED_FIRST_IN_WORLD,LOC_MOMENT_WORLD_CIRCUMNAVIGATED_FIRST_IN_WORLD,LOC_MOMENT_WORLD_CIRCUMNAVIGATED_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_WORLD_CIRCUMNAVIGATED_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,5.0,,,,,Moment_Circumnavigation.dds,,,
MOMENT_CITY_BUILT_NEAR_FLOODABLE_RIVER,LOC_MOMENT_CITY_BUILT_NEAR_FLOODABLE_RIVER,LOC_MOMENT_CITY_BUILT_NEAR_FLOODABLE_RIVER_DESCRIPTION,LOC_MOMENT_CITY_BUILT_NEAR_FLOODABLE_RIVER_INSTANCE_DESCRIPTION,3,1.0,,,,,MomentXP2_City_Built_Near_FloodableRiver.dds,,,
MOMENT_CITY_BUILT_NEAR_VOLCANO,LOC_MOMENT_CITY_BUILT_NEAR_VOLCANO,LOC_MOMENT_CITY_BUILT_NEAR_VOLCANO_DESCRIPTION,LOC_MOMENT_CITY_BUILT_NEAR_VOLCANO_INSTANCE_DESCRIPTION,3,1.0,,,,,MomentXP2_City_Built_Near_Volcano.dds,,,
MOMENT_CITY_POWER_GENERATED_FROM_RESOURCE_FIRST,LOC_MOMENT_CITY_POWER_GENERATED_FROM_RESOURCE_FIRST,LOC_MOMENT_CITY_POWER_GENERATED_FROM_RESOURCE_FIRST_DESCRIPTION,LOC_MOMENT_CITY_POWER_GENERATED_FROM_RESOURCE_FIRST_INSTANCE_DESCRIPTION,3,2.0,,,,,MomentXP2_Resource_FossilFuel.dds,,,
MOMENT_CITY_POWER_GENERATED_FROM_RESOURCE_FIRST_IN_WORLD,LOC_MOMENT_CITY_POWER_GENERATED_FROM_RESOURCE_FIRST_IN_WORLD,LOC_MOMENT_CITY_POWER_GENERATED_FROM_RESOURCE_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_CITY_POWER_GENERATED_FROM_RESOURCE_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,3.0,,,,,MomentXP2_Resource_FossilFuel.dds,,,
MOMENT_CLIMATE_CHANGE_PHASE,LOC_MOMENT_CLIMATE_CHANGE_PHASE,LOC_MOMENT_CLIMATE_CHANGE_PHASE_DESCRIPTION,LOC_MOMENT_CLIMATE_CHANGE_PHASE_INSTANCE_DESCRIPTION,3,0.0,,,,,MomentXP2_ClimateChangeAlert.dds,,,
MOMENT_DISTRICT_CONSTRUCTED_CANAL,LOC_MOMENT_DISTRICT_CONSTRUCTED_CANAL,LOC_MOMENT_DISTRICT_CONSTRUCTED_CANAL_DESCRIPTION,LOC_MOMENT_DISTRICT_CONSTRUCTED_CANAL_INSTANCE_DESCRIPTION,3,2.0,,,,,MomentXP2_BuildingTheCanal.dds,,,
MOMENT_GOVERNMENT_ENACTED_TIER_4_FIRST,LOC_MOMENT_GOVERNMENT_ENACTED_TIER_4_FIRST,LOC_MOMENT_GOVERNMENT_ENACTED_TIER_4_FIRST_DESCRIPTION,LOC_MOMENT_GOVERNMENT_ENACTED_TIER_4_FIRST_INSTANCE_DESCRIPTION,3,2.0,,,,,,,MOMENT_ILLUSTRATION_GOVERNMENT,ERA_FUTURE
