ListType,LeaderType,AgendaType,System,MinDifficulty,MaxDifficulty
GreatMountainsResolutions,TRAIT_CIVILIZATION_GREAT_MOUNTAINS,,Resolutions,,
TraitReligiousConvertResolutions,TRAIT_LEADER_RELIGIOUS_CONVERT,,Resolutions,,
FoundingFathersResolutions,TRAIT_CIVILIZATION_FOUNDING_FATHERS,,Resolutions,,
NkisiResolutions,TRAIT_CIVILIZATION_NKISI,,Resolutions,,
GreatTurkishBombardResolutions,TRAIT_CIVILIZATION_GREAT_TURKISH_BOMBARD,,Resolutions,,
TreasureFleetResolutions,TRAIT_CIVILIZATION_TREASURE_FLEET,,Resolutions,,
MediterraneanColoniesResolutions,TRAIT_CIVILIZATION_MEDITERRANEAN_COLONIES,,Resolutions,,
ElectronicsFactoryResolutions,TRAIT_CIVILIZATION_BUILDING_ELECTRONICS_FACTORY,,Resolutions,,
AllRoadToRomeResolutions,TRAIT_CIVILIZATION_ALL_ROADS_TO_ROME,,Resolutions,,
ManaResolutions,TRAIT_CIVILIZATION_MAORI_MANA,,Resolutions,,
EleanorResolutions,TRAIT_LEADER_ELEANOR_LOYALTY,,Resolutions,,
CityStateProtectorDiscussions,,TRAIT_AGENDA_PREFER_CITY_STATE_PROTECTOR,Discussions,,
DarwinistDiscussions,,TRAIT_AGENDA_ENJOYS_WAR,Discussions,,
DevoutDiscussions,,TRAIT_AGENDA_PREFER_FAITH,Discussions,,
EnvironmentalistDiscussions,,TRAIT_AGENDA_PREFER_ENVIRONMENT,Discussions,,
ExploitativeDiscussions,,TRAIT_AGENDA_PREFER_EXPLOITATION,Discussions,,
GreatPersonAdvocateDiscussions,,TRAIT_AGENDA_GREAT_PERSON_ADVOCATE,Discussions,,
IndustrialistDiscussions,,TRAIT_AGENDA_PREFER_INDUSTRY,Discussions,,
NukeLoverDiscussions,,TRAIT_AGENDA_PREFER_NUKES,Discussions,,
ParanoidDiscussions,,TRAIT_AGENDA_PARANOID,Discussions,,
AllyOfEnkiduDiscussions,,TRAIT_AGENDA_ALLY_OF_ENKIDU,Discussions,,
BackstabAverseDiscussions,,TRAIT_AGENDA_BACKSTAB_AVERSE,Discussions,,
CityStateAllyDiscussions,,TRAIT_AGENDA_CITY_STATE_ALLY,Discussions,,
CounterReformerDiscussions,,TRAIT_AGENDA_COUNTER_REFORMER,Discussions,,
DelianLeagueDiscussions,,TRAIT_AGENDA_DELAIN_LEAGUE,Discussions,,
EnthusiasticDiscipleDiscussions,,TRAIT_AGENDA_ENTHUSIASTIC_DISCIPLE,Discussions,,
GreatPersonObessessedDiscussions,,TRAIT_AGENDA_GREAT_PERSON_OBSESSED,Discussions,,
IronCrownDiscussions,,TRAIT_AGENDA_IRON_CROWN,Discussions,,
OptimusPrincepsDiscussions,,TRAIT_AGENDA_OPTIMUS_PRINCEPS,Discussions,,
PeacekeeperDiscussions,,TRAIT_AGENDA_PEACEKEEPER,Discussions,,
QueenOfNileDiscussions,,TRAIT_AGENDA_QUEEN_OF_NILE,Discussions,,
WithYourShieldOrOnItDiscussions,,TRAIT_AGENDA_WITH_YOUR_SHIELD_OR_ON_IT,Discussions,,
ArchipelagicStateDiscussions,,TRAIT_AGENDA_ARCHIPELAGIC_STATE,Discussions,,
SaintDiscussions,,TRAIT_AGENDA_SAINT,Discussions,,
ShortLifeGloryDiscussions,,TRAIT_AGENDA_SHORT_LIFE_GLORY,Discussions,,
BackstabberDiscussions,,TRAIT_AGENDA_BACKSTABBER,Discussions,,
PerpetuallyOnGuardDiscussions,,TRAIT_AGENDA_PERPETUALLY_ON_GUARD,Discussions,,
FlowerOfScotlandDiscussions,,TRAIT_AGENDA_PERPETUALLY_ON_GUARD,Discussions,,
HorseLordDiscussions,,TRAIT_AGENDA_HORSE_LORD,Discussions,,
HornChestLoinsDiscussions,,TRAIT_AGENDA_HORN_CHEST_LOINS,Discussions,,
MauryaEmpireDiscussions,,TRAIT_AGENDA_MAURYA_EMPIRE,Discussions,,
NarikalaFortressDiscussions,,TRAIT_AGENDA_NARIKALA_FORTRESS,Discussions,,
CheomseongdaeDiscussions,,TRAIT_AGENDA_CHEOMSEONGDAE,Discussions,,
DemagogueDiscussions,,TRAIT_AGENDA_PREFER_NOFAVOR,Discussions,,
DestinationCivDiscussions,,TRAIT_AGENDA_PREFER_NOTOURISM,Discussions,,
ExpansionistDiscussions,,TRAIT_AGENDA_EXPANSIONIST,Discussions,,
FlatEartherDiscussions,,TRAIT_AGENDA_FLAT_EARTHER,Discussions,,
IntolerantDiscussions,,TRAIT_AGENDA_INTOLERANT,Discussions,,
LibertarianDiscussions,,TRAIT_AGENDA_PREFER_NODIPLOVP,Discussions,,
TurtlerDiscussions,,TRAIT_AGENDA_TURTLER,Discussions,,
CanadianExpeditionaryDiscussions,,TRAIT_AGENDA_CANADIAN_EXPEDITIONARY,Discussions,,
KaitiakitangaDiscussions,,TRAIT_AGENDA_KAITIAKITANGA,Discussions,,
RavenBannerDiscussions,,TRAIT_AGENDA_RAVEN_BANNER,Discussions,,
SicilianWarsDiscussions,,TRAIT_AGENDA_SICILIAN_WARS,Discussions,,
NobelPrizeDiscussions,TRAIT_CIVILIZATION_NOBEL_PRIZE,,Discussions,,
EleanorDiscussions,TRAIT_LEADER_ELEANOR_LOYALTY,,Discussions,,
CounterReformerInquisitionPreference,,TRAIT_AGENDA_INTOLERANT,TriggeredTrees,,
CounterReformerInquisitorPreference,,TRAIT_AGENDA_INTOLERANT,Units,,
LastVikingKingCoastSettlement,,TRAIT_AGENDA_GREAT_WHITE_FLEET,PlotEvaluations,,
LastVikingKingHarborPreference,,TRAIT_AGENDA_GREAT_WHITE_FLEET,Districts,,
LastVikingKingNavalPreference,,TRAIT_AGENDA_GREAT_WHITE_FLEET,PseudoYields,,
VictoriaUnits,TRAIT_LEADER_PAX_BRITANNICA,,Units,,
CleopatraDistricts,TRAIT_LEADER_MEDITERRANEAN,,Districts,,
ScienceVictoryProjects,,,Projects,,
LordOfMinesPseudoYields,,TRAIT_AGENDA_LORD_OF_MINES,PseudoYields,,
LordOfMinesYields,,TRAIT_AGENDA_LORD_OF_MINES,Yields,,
MaoriSettlePreferences,TRAIT_CIVILIZATION_MAORI_MANA,,PlotEvaluations,,
DidoCivics,TRAIT_LEADER_FOUNDER_CARTHAGE,,Civics,,
DidoCoastalSettlements,TRAIT_LEADER_FOUNDER_CARTHAGE,,PlotEvaluations,,
DidoTechs,TRAIT_LEADER_FOUNDER_CARTHAGE,,Technologies,,
DidoWonders,TRAIT_LEADER_FOUNDER_CARTHAGE,,Buildings,,
EleanorCivics,TRAIT_LEADER_ELEANOR_LOYALTY,,Civics,,
EleanorDistricts,TRAIT_LEADER_ELEANOR_LOYALTY,,Districts,,
EleanorWonders,TRAIT_LEADER_ELEANOR_LOYALTY,,Buildings,,
EleanorGreatWorks,TRAIT_LEADER_ELEANOR_LOYALTY,,PseudoYields,,
EleanorAlliances,TRAIT_LEADER_ELEANOR_LOYALTY,,Alliances,,
KristinaCivics,TRAIT_LEADER_KRISTINA_AUTO_THEME,,Civics,,
KristinaTechs,TRAIT_LEADER_KRISTINA_AUTO_THEME,,Technologies,,
KristinaBuildings,TRAIT_LEADER_BUILDING_QUEENS_BIBLIOTHEQUE,,Buildings,,
KristinaWonders,TRAIT_LEADER_KRISTINA_AUTO_THEME,,Buildings,,
KristinaFavor,TRAIT_LEADER_KRISTINA_AUTO_THEME,,PseudoYields,,
KupeCivics,TRAIT_LEADER_KUPES_VOYAGE,,Civics,,
KupeTechs,TRAIT_LEADER_KUPES_VOYAGE,,Technologies,,
LaurierCivics,TRAIT_LEADER_LAST_BEST_WEST,,Civics,,
LaurierWonders,TRAIT_LEADER_LAST_BEST_WEST,,Buildings,,
LaurierUnits,TRAIT_LEADER_LAST_BEST_WEST,,Units,,
LaurierTourism,TRAIT_LEADER_LAST_BEST_WEST,,PseudoYields,,
MansaMusaCivics,TRAIT_LEADER_SAHEL_MERCHANTS,,Civics,,
MansaMusaTechs,TRAIT_LEADER_SAHEL_MERCHANTS,,Technologies,,
MansaMusaWonders,TRAIT_LEADER_SAHEL_MERCHANTS,,Buildings,,
MansaMusaGold,TRAIT_LEADER_SAHEL_MERCHANTS,,Yields,,
MatthiasAlliances,TRAIT_CIVILIZATION_UNIT_HUNGARY_HUSZAR,,Alliances,,
MatthiasCivics,TRAIT_LEADER_RAVEN_KING,,Civics,,
MatthiasTechs,TRAIT_LEADER_RAVEN_KING,,Technologies,,
MatthiasWonders,TRAIT_LEADER_RAVEN_KING,,Buildings,,
MatthiasInflluence,TRAIT_LEADER_RAVEN_KING,,PseudoYields,,
PachacutiCivics,TRAIT_LEADER_PACHACUTI_QHAPAQ_NAN,,Civics,,
PachacutiTechs,TRAIT_LEADER_PACHACUTI_QHAPAQ_NAN,,Technologies,,
PachacutiWonders,TRAIT_LEADER_PACHACUTI_QHAPAQ_NAN,,Buildings,,
SuliemanCivics,TRAIT_LEADER_SULEIMAN_GOVERNOR,,Civics,,
SuliemanTechs,TRAIT_LEADER_SULEIMAN_GOVERNOR,,Technologies,,
SuliemanGovernor,TRAIT_LEADER_SULEIMAN_GOVERNOR,,Buildings,,
SuliemanUnits,TRAIT_LEADER_SULEIMAN_GOVERNOR,,UnitPromotionClasses,,
BullMooseEnvironmentPreference,,TRAIT_AGENDA_BULL_MOOSE,PseudoYields,,
BullMooseResolutions,,TRAIT_AGENDA_BULL_MOOSE,Resolutions,,
BullMooseDiscussions,,TRAIT_AGENDA_BULL_MOOSE,Discussions,,
ElizabethPseudoYields,,TRAIT_AGENDA_TRADE_AGREEMENT,PseudoYields,,
ElizabethYields,,TRAIT_AGENDA_TRADE_AGREEMENT,Yields,,
SagaPreference,,TRAIT_AGENDA_SAGA,DiplomaticActions,,
IndustrialRevolutionPreference,,TRAIT_AGENDA_PREFER_INDUSTRIAL_REVOLUTION,Yields,,
VictoriaAltCivics,TRAIT_LEADER_VICTORIA_ALT,,Civics,,
VictoriaAltTechs,TRAIT_LEADER_VICTORIA_ALT,,Technologies,,
VictoriaAltWonders,TRAIT_LEADER_VICTORIA_ALT,,Buildings,,
ElizabethCivics,TRAIT_LEADER_ELIZABETH,,Civics,,
ElizabethTechs,TRAIT_LEADER_ELIZABETH,,Technologies,,
ElizabethWonders,TRAIT_LEADER_ELIZABETH,,Buildings,,
HaraldAltWonders,TRAIT_LEADER_HARALD_ALT,,Buildings,,
HaraldAltCivics,TRAIT_LEADER_HARALD_ALT,,Civics,,
HaraldAltTechs,TRAIT_LEADER_HARALD_ALT,,Technologies,,
HaraldAltEnvoys,TRAIT_LEADER_HARALD_ALT,,PseudoYields,,
TradeAgreementResolutions,,TRAIT_AGENDA_TRADE_AGREEMENT,Resolutions,,
SagaResolutions,,TRAIT_AGENDA_SAGA,Resolutions,,
SagaDiscussions,,TRAIT_AGENDA_SAGA,Discussions,,
IndustrialRevolutionResolutions,,TRAIT_AGENDA_INDUSTRIAL_REVOLUTION,Resolutions,,
IndustrialRevolutionDiscussions,,TRAIT_AGENDA_INDUSTRIAL_REVOLUTION,Discussions,,
SettleOneContinent,,TRAIT_AGENDA_DECOLONIZATION,PlotEvaluations,,
LincolnWonders,TRAIT_LEADER_LINCOLN,,Buildings,,
LincolnCivics,TRAIT_LEADER_LINCOLN,,Civics,,
LincolnTechs,TRAIT_LEADER_LINCOLN,,Technologies,,
NzingaWonders,TRAIT_LEADER_NZINGA_MBANDE,,Buildings,,
NzingaTechs,TRAIT_LEADER_NZINGA_MBANDE,,Technologies,,
NzingaCivics,TRAIT_LEADER_NZINGA_MBANDE,,Civics,,
SaladinAltWonders,TRAIT_LEADER_SALADIN_ALT,,Buildings,,
SaladinAltCivics,TRAIT_LEADER_SALADIN_ALT,,Civics,,
SaladinAltTechs,TRAIT_LEADER_SALADIN_ALT,,Technologies,,
SultanResolutions,,TRAIT_AGENDA_SULTAN,Resolutions,,
SihaiLoverClearingBarbCampPreference,,TRAIT_AGENDA_SIHAI,PseudoYields,,
YongleCivics,TRAIT_LEADER_YONGLE,,Civics,,
YongleTechs,TRAIT_LEADER_YONGLE,,Technologies,,
YongleWonders,TRAIT_LEADER_YONGLE,,Buildings,,
WuZetianCivics,TRAIT_LEADER_WU_ZETIAN,,Civics,,
WuZetianTechs,TRAIT_LEADER_WU_ZETIAN,,Technologies,,
WuZetianWonders,TRAIT_LEADER_WU_ZETIAN,,Buildings,,
WuZetianPseudo,TRAIT_LEADER_WU_ZETIAN,,PseudoYields,,
QinAltUnits,TRAIT_LEADER_QIN,,UnitPromotionClasses,,
QinAltTechs,TRAIT_LEADER_QIN,,Technologies,,
QinAltWonders,TRAIT_LEADER_QIN,,Buildings,,
CourtResolutions,,TRAIT_AGENDA_COURT_INTRIGUE,Resolutions,,
CourtDiscussions,,TRAIT_AGENDA_COURT_INTRIGUE,Discussions,,
MaatLoverExploitationPreference,,TRAIT_AGENDA_MAAT,PseudoYields,,
FoodLoverFoodPreference,,TRAIT_AGENDA_PREFER_FOOD,Yields,,
WonderObsessedWonders,TRAIT_LEADER_RAMSES,,PseudoYields,,
CleopatraAltCivics,TRAIT_LEADER_CLEOPATRA_ALT,,Civics,,
CleopatraAltTechs,TRAIT_LEADER_MEDITERRANEAN,,Technologies,,
CleopatraAltWonders,TRAIT_LEADER_CLEOPATRA_ALT,,Buildings,,
RamsesCivics,TRAIT_LEADER_RAMSES,,Civics,,
RamsesTechs,TRAIT_LEADER_MEDITERRANEAN,,Technologies,,
RamsesWonders,TRAIT_LEADER_RAMSES,,Buildings,,
MaatResolutions,,TRAIT_AGENDA_MAAT,Resolutions,,
MaatDiscussions,,TRAIT_AGENDA_MAAT,Discussions,,
LionOfMaliResolutions,,TRAIT_AGENDA_LION_OF_MALI,Resolutions,,
LionOfMaliDiscussions,,TRAIT_AGENDA_LION_OF_MALI,Discussions,,
LionOfMaliPseudoYields,TRAIT_AGENDA_LION_OF_MALI,,PseudoYields,,
KeitaGreatWorks,TRAIT_LEADER_ELEANOR_LOYALTY,,PseudoYields,,
KeitaCivics,TRAIT_LEADER_SAHEL_MERCHANTS,,Civics,,
KeitaTechs,TRAIT_LEADER_SAHEL_MERCHANTS,,Technologies,,
KeitaWonders,TRAIT_LEADER_SAHEL_MERCHANTS,,Buildings,,
MayanEmpire,TRAIT_CIVILIZATION_MAYAB,,PlotEvaluations,,
MayanObservatory,TRAIT_CIVILIZATION_MAYAB,,Yields,,
CompactEmpire,TRAIT_LEADER_MUTAL,,PlotEvaluations,,
CaesarCivics,TRAIT_LEADER_CAESAR,,Civics,,
CaesarTechs,TRAIT_LEADER_CAESAR,,Technologies,,
CaesarWonders,TRAIT_LEADER_CAESAR,,Buildings,,
GallicWarsClearingBarbCampPreference,,TRAIT_AGENDA_GALLIC_WARS,PseudoYields,,
BasilFavoredBuildings,TRAIT_LEADER_BASIL,,Buildings,,
GaulFavoredTechs,TRAIT_CIVILIZATION_DISTRICT_OPPIDUM,,Technologies,,
BasilFavoredResolutions,,TRAIT_AGENDA_BASIL_ZEALOT,Resolutions,,
BasilFavoredYields,,TRAIT_AGENDA_BASIL_ZEALOT,Yields,,
KublaiKhanPseudoYieldPreferences,TRAIT_LEADER_KUBLAI,,PseudoYields,,
KublaiKhanYieldPreferences,TRAIT_LEADER_KUBLAI,,Yields,,
VietnamSettlePreferences,TRAIT_CIVILIZATION_VIETNAM,,PlotEvaluations,,
CatherineAltLuxuries,,TRAIT_AGENDA_MAGNIFICENCES,PseudoYields,,
TokugawaWonders,TRAIT_LEADER_TOKUGAWA,,Buildings,,
TokugawaCivics,TRAIT_LEADER_TOKUGAWA,,Civics,,
TokugawaTechs,TRAIT_LEADER_TOKUGAWA,,Technologies,,
LandPowerLoverLandUnitsPreference,,TRAIT_AGENDA_PREFER_LANDPOWER,PseudoYields,,
NaderCivics,TRAIT_LEADER_NADER_SHAH,,Civics,,
NaderTechs,TRAIT_LEADER_NADER_SHAH,,Technologies,,
NaderWonders,TRAIT_LEADER_NADER_SHAH,,Buildings,,
SuliemanAltCivics,TRAIT_LEADER_SULEIMAN_ALT,,Civics,,
SuliemanAltTechs,TRAIT_LEADER_SULEIMAN_ALT,,Technologies,,
SuliemanAltWonders,TRAIT_LEADER_SULEIMAN_ALT,,Buildings,,
SuliemanAltUnits,TRAIT_LEADER_SULEIMAN_ALT,,UnitPromotionClasses,,
SakokuResolutions,,TRAIT_AGENDA_TURTLER,Resolutions,,
SakokuDiscussions,,TRAIT_AGENDA_TURTLER,Discussions,,
LandPowerResolutions,,TRAIT_AGENDA_PREFER_LANDPOWER,Resolutions,,
EthiopiaYields,TRAIT_CIVILIZATION_IMPROVEMENT_ROCK_HEWN_CHURCH,,Yields,,
PreferHills,AGENDA_ETHIOPIAN_HIGHLANDS,,PlotEvaluations,,
HammurabiFavoredDistricts,,TRAIT_AGENDA_HAMMURABI_DISTRICTS,PseudoYields,,
GilgameshSciencePreference,TRAIT_LEADER_GILGAMESH_HEROES,,Yields,,
LudwigWonders,TRAIT_LEADER_LUDWIG,,Buildings,,
LudwigCivics,TRAIT_LEADER_LUDWIG,,Civics,,
LudwigTechs,TRAIT_LEADER_LUDWIG,,Technologies,,
NewRomeCulturePreference,,TRAIT_AGENDA_NEW_ROME,Yields,,
SejongResolutions,,TRAIT_AGENDA_SEJONG,Resolutions,,
SejongWonders,TRAIT_LEADER_SEJONG,,Buildings,,
SejongCivics,TRAIT_LEADER_SEJONG,,Civics,,
SejongTechs,TRAIT_LEADER_SEJONG,,Technologies,,
JoaoCivicPreference,TRAIT_LEADER_JOAO_III,,Civics,,
JoaoCoastalSettlements,TRAIT_LEADER_JOAO_III,,PlotEvaluations,,
JoaoExplorationObsessed,,TRAIT_JOAO_EXPLORATION_AGENDA,PseudoYields,,
